subject,action
manage,all
permission,read
member,all
member,read
member,create
member,update
member,delete
role,all
role,read
role,create
role,update
role,delete
user,all
user,read
user,create
user,update
user,delete
permissionGroup,all
permissionGroup,read
permissionGroup,create
permissionGroup,update
permissionGroup,delete
fish,all
fish,read
fish,create
fish,update
fish,delete
level,all
level,read
level,create
level,update
level,delete
hunting,all
hunting,read
hunting,create
hunting,update
hunting,delete
competition,all
competition,read
competition,create
competition,update
competition,delete
ranking,all
ranking,read
ranking,create
ranking,update
ranking,delete
